Titre;Description;Année de sortie;Genre;Réalisateur
Avenger Invinity war;Les Avengers et leurs alliés devront être prêts à tout sacrifier pour neutraliser le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l’univers.;25-avr-18;Aventure, Action;Joe Russo, Anthony Russo
Batman The Dark Knight;Dans ce nouveau volet, Batman augmente les mises dans sa guerre contre le crime. Avec l'appui du lieutenant de police Jim Gordon et du procureur de Gotham, Harvey Dent, Batman vise à éradiquer le crime organisé qui pullule dans la ville. Leur association est très efficace mais elle sera bientôt bouleversée par le chaos déclenché par un criminel extraordinaire que les citoyens de Gotham connaissent sous le nom de Joker;13-août-08;Action, Thriller;Christopher Nolan
Django Unchained;"Dans le sud des États-Unis, deux ans avant la guerre de Sécession, le Dr King Schultz, un chasseur de primes allemand, fait l’acquisition de Django, un esclave qui peut l’aider à traquer les frères Brittle, les meurtriers qu’il recherche. Schultz promet à Django de lui rendre sa liberté lorsqu’il aura capturé les Brittle – morts ou vifs.
Alors que les deux hommes pistent les dangereux criminels, Django n’oublie pas que son seul but est de retrouver Broomhilda, sa femme, dont il fut séparé à cause du commerce des esclaves…
Lorsque Django et Schultz arrivent dans l’immense plantation du puissant Calvin Candie, ils éveillent les soupçons de Stephen, un esclave qui sert Candie et a toute sa confiance. Le moindre de leurs mouvements est désormais épié par une dangereuse organisation de plus en plus proche… Si Django et Schultz veulent espérer s’enfuir avec Broomhilda, ils vont devoir choisir entre l’indépendance et la solidarité, entre le sacrifice et la survie…";16-janv-13;Western;Quentin Tarantino
La Ligne Verte;Paul Edgecomb, pensionnaire centenaire d'une maison de retraite, est hanté par ses souvenirs. Gardien-chef du pénitencier de Cold Mountain en 1935, il était chargé de veiller au bon déroulement des exécutions capitales en s’efforçant d'adoucir les derniers moments des condamnés. Parmi eux se trouvait un colosse du nom de John Coffey, accusé du viol et du meurtre de deux fillettes. Intrigué par cet homme candide et timide aux dons magiques, Edgecomb va tisser avec lui des liens très forts.;01-mars-00;Fantastique, policier;Frank Darabont
Pulp Fiction;L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.;26-oct-94;Policier, thriller;Quentin Tarantino
Harry Potter 4 Et La Coupe De Feu;"La quatrième année à l'école de Poudlard est marquée par le ""Tournoi des trois sorciers"". Les participants sont choisis par la fameuse ""coupe de feu"" qui est à l'origine d'un scandale. Elle sélectionne Harry Potter alors qu'il n'a pas l'âge légal requis !
Accusé de tricherie et mis à mal par une série d'épreuves physiques de plus en plus difficiles, ce dernier sera enfin confronté à Celui dont on ne doit pas prononcer le nom, Lord V.";30-nov-05;Fantastique;Mike Newell 
Les bronzes;Un groupe de vingt personnes arrive extenué dans un club situé en Afrique pour passer quelques jours de repos;01-nov-78;Comédie;Patrice Leconte
Equalizer;McCall, la page était tournée. Il pensait en avoir fini avec son mystérieux passé. Mais lorsqu’il fait la connaissance de Teri, une jeune fille victime de gangsters russes violents, il lui est impossible de ne pas réagir. Sa soif de justice se réveille et il sort de sa retraite pour lui venir en aide. McCall n’a pas oublié ses talents d’autrefois;01-oct-14;Action, Thriller;Antoine Fuqua
Mission impossible;Ethan Hunt accompagné de son équipe de l’IMF – Impossible Mission Force et de quelques fidèles alliées sont lancés dans une course contre la montre, suite au terrible échec d’une mission;23-oct-96;Espionnage;Brian De Palma
Lords of War;Né en Ukraine avant l'effondrement du bloc soviétique, Yuri arrive aux Etats-Unis avec ses parents. Il se fait passer pour un émigrant juif... Audacieux et fin négociateur, il se fait une place dans le trafic d'armes. Les énormes sommes d'argent qu'il gagne lui permettent aussi de conquérir celle qui l'a toujours fasciné, la belle Ava. Parallèlement à cette vie de mari et de père idéal, Yuri devient l'un des plus gros vendeurs d'armes clandestins du monde. Utilisant ses relations à l'Est, il multiplie les coups toujours plus risqués, mais parvient chaque fois à échapper à Jack Valentine, l'agent d'Interpol qui le pourchasse. Des luxueux immeubles new-yorkais aux palais des dictateurs africains, Yuri joue de plus en plus gros. Convaincu de sa chance, il poursuit sa double vie explosive, jusqu'à ce que le destin et sa conscience le rattrapent...;04/01/2006;Drame, Action, Thriller;Andrew Niccol
La Reine des neiges;Anna, une jeune fille aussi audacieuse qu’optimiste, se lance dans un incroyable voyage en compagnie de Kristoff, un montagnard expérimenté, et de son fidèle renne, Sven à la recherche de sa sœur, Elsa, la Reine des Neiges qui a plongé le royaume d’Arendelle dans un hiver éternel…  En chemin, ils vont rencontrer de mystérieux trolls et un drôle de bonhomme de neige nommé Olaf, braver les conditions extrêmes des sommets escarpés et glacés, et affronter la magie qui les guette à chaque pas.;04/12/2013;Animation, Aventure, Famille;Chris Buck, Jennifer Lee
Le nombre 23;Walter menait une vie paisible, jusqu'à ce qu'il découvre un étrange roman, Le Nombre 23. D'abord intrigué par ce thriller, Walter s'aperçoit rapidement qu'il existe des parallèles troublants entre l'intrigue et sa propre vie. Peu à peu, l'univers du livre envahit sa réalité jusqu'à l'obsession. Comme Fingerling, le détective de l'histoire, Walter est chaque jour plus fasciné par le pouvoir caché que semble détenir le nombre 23. Ce nombre est partout dans sa vie, et Walter est de plus en plus convaincu qu'il est condamné à commettre le même meurtre que Fingerling... Des images cauchemardesques se mettent à le hanter, celles du terrible destin de sa femme et d'un de leurs amis, Isaac French. Walter ne pourra plus échapper au mystère de ce livre. Ce n'est qu'en découvrant le secret du nombre 23 qu'il aura une chance de changer son destin...;28/02/2007;Thriller;Joel Schumacher
"		";;;;
